Country,Total
Australia,410
Austria,13
Bulgaria,9
Canada,1831
Czech Republic,28
France,612
Germany (FRG),1467
Israel,763
Italy,355
Japan,40
Jordan,20
Netherlands,308
New Zealand,75
Norway,736
Peru,4
Poland,160
Russia,16
Saudi Arabia,18
South Africa,426
Spain,310
Sweden,90
Switzerland,1244
Ukraine,66
United Kingdom,2712
